,state,x,y
0,Andhra Pradesh,-60.0,-124.0
1,Arunachal Pradesh,213.0,125.0
2,Assam,168.0,90.0
3,Bihar,53.0,78.0
4,Chhattisgarh,-8.0,11.0
5,Goa,-161.0,-118.0
6,Gujarat,-198.0,27.0
7,Haryana,-108.0,143.0
8,Himachal Pradesh,-70.0,197.0
9,Jharkhand,53.0,40.0
10,Karnataka,-123.0,-140.0
11,Kerala,-126.0,-203.0
12,Madhya Pradesh,-83.0,32.0
13,Maharashtra,-125.0,-39.0
14,Manipur,205.0,62.0
15,Meghalaya,145.0,70.0
16,Mizoram,194.0,30.0
17,Nagaland,225.0,88.0
18,Odisha,31.0,-22.0
19,Punjab,-128.0,176.0
20,Rajasthan,-154.0,98.0
21,Sikkim,99.0,110.0
22,Tamil Nadu,-69.0,-192.0
23,Telangana,-64.0,-71.0
24,Tripura,143.0,43.0
25,Uttar Pradesh,-34.0,101.0
26,Uttarakhand,-50.0,160.0
27,West Bengal,110.0,31.0
